stock1,stock2,trade_capital,open,loss,reward,open_num
1477,3406,662.3325,2.086678832116794,6.2883211678832325,-1.4175000000000182,1
1477,3532,1133.49,3.2499999999999982,5.500000000000034,-4.210000000000036,1
1477,3711,264.32980000000003,4.151949541284411,10.021788990825703,-0.370199999999997,1
2049,9914,701.1,2.980046948356806,13.515845070422579,3.5,1
2301,3532,599.6825,1.4751902346226717,3.9999999999997113,0.7975000000000136,1
2327,2344,370.84000000000003,4.151949541284411,10.021788990825703,-0.9599999999999937,1
2344,3532,175.211,2.6328389830508536,8.9762711864407,-0.33899999999999864,1
2344,9914,154.535,2.2499999999999822,7.500000000000021,0.8350000000000009,1
2360,3532,689.924,1.4751902346226717,3.9999999999997113,0.4240000000000066,1
2360,9914,563.144,2.086678832116794,6.2883211678832325,2.6440000000000055,1
2449,3532,163.0265,2.980046948356806,13.515845070422579,-1.843500000000006,1
2492,3532,474.63750000000005,3.2499999999999982,5.500000000000034,-2.977499999999992,1
2884,9914,153.9368,2.086678832116794,6.2883211678832325,0.13680000000000092,1
2890,3532,164.0065,2.086678832116794,6.2883211678832325,-0.4935000000000045,1
3532,9910,1044.6325000000002,2.6328389830508536,8.9762711864407,-2.7174999999999727,1
3406,3532,419.17499999999995,4.000000000000004,12.500000000000034,-2.1750000000000114,1
3406,9910,1654.96,2.6328389830508536,8.9762711864407,-8.639999999999986,1
